,id,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
129,130,17.0,4,7,4,1,0,0,4.0,10,0,19
130,131,7.0,5,1,1,0,1,0,5.0,0,0,7
131,132,3.0,0,3,0,1,0,0,3.0,0,7,17
132,133,0.0,6,1,1,0,0,0,6.0,36,0,0
133,134,1.0,2,5,5,0,0,0,2.0,31,0,1
134,135,3.0,1,3,3,0,0,0,3.0,0,5,17
135,136,16.0,4,2,4,1,0,0,2.0,0,8,18
136,137,1.0,0,5,0,1,0,0,0.0,39,0,1
137,138,0.0,7,6,6,0,0,0,7.0,17,0,0
138,139,16.0,2,1,2,1,0,0,2.0,17,0,18
139,140,3.0,3,4,4,0,0,0,3.0,41,0,8
140,141,2.0,7,0,7,1,0,0,7.0,40,0,2
141,142,3.0,5,3,3,0,0,0,3.0,0,4,17
142,143,7.0,6,1,6,1,0,0,1.0,0,5,7
143,144,2.0,7,2,7,1,0,0,7.0,67,0,2
144,145,4.0,0,4,0,1,0,0,0.0,24,0,4
145,146,1.0,5,6,5,1,0,0,6.0,0,6,1
146,147,7.0,1,2,1,1,0,0,1.0,23,0,7
147,148,3.0,3,4,3,1,0,0,3.0,63,0,17
148,149,4.0,0,5,0,1,0,0,5.0,0,8,4
149,150,2.0,7,6,7,1,0,0,7.0,37,0,2
150,151,18.0,2,4,2,1,0,0,2.0,2,0,20
151,152,7.0,1,3,1,1,0,0,1.0,24,0,7
152,153,5.0,5,2,5,1,0,0,2.0,0,9,5
153,154,4.0,0,7,0,1,0,0,0.0,14,0,4
154,155,0.0,6,4,4,0,0,0,4.0,0,7,0
155,156,1.0,3,5,3,1,0,0,5.0,0,6,1
156,157,18.0,1,4,1,1,0,0,4.0,0,6,20
157,158,0.0,0,6,6,0,0,0,6.0,0,7,0
158,159,2.0,7,5,7,1,0,0,5.0,0,7,2
159,160,5.0,3,2,2,0,0,0,3.0,37,0,5
160,161,18.0,4,6,6,0,0,0,4.0,13,0,20
161,162,3.0,3,7,3,1,0,0,3.0,39,0,17
162,163,7.0,0,1,0,1,0,0,1.0,0,9,7
163,164,5.0,2,6,2,1,0,0,6.0,0,5,5
164,165,7.0,1,7,1,1,0,0,7.0,0,6,7
165,166,19.0,5,4,4,0,0,0,4.0,0,5,21
